"","Total.Assets","Revenues","Bank_Type"
"1",1344418,106155,"Private_Banks"
"2",114993,14633,"Private_Banks"
"3",23337,3450,"Private_Banks"
"4",53311,4839,"Private_Banks"
"5",39602,3916,"Private_Banks"
"6",13096,1072,"Private_Banks"
"7",204966,15702,"Private_Banks"
"8",2530432,205000,"Private_Banks"
"9",1958490.5,186178.5,"Private_Banks"
"10",298652,24803,"Private_Banks"
"11",163071,18221,"Private_Banks"
"12",362903,28999,"Private_Banks"
"13",82018,7166,"Private_Banks"
"14",85580,6232,"Private_Banks"
"15",74623,5470,"Private_Banks"
"16",620429.73,67981.02,"Private_Banks"
"17",8438,727,"Private_Banks"
"18",100618,8561,"Private_Banks"
"19",94149,7305,"Private_Banks"
"20",42758,3992,"Private_Banks"
"21",273593,20039,"Private_Banks"
"22",1525878.97,110777.98,"Public_Banks"
"23",815555.61,54747.61,"Public_Banks"
"24",184082,13144.67,"Public_Banks"
"25",1381029.56,111209.76,"Public_Banks"
"26",369214.99,25897.44,"Public_Banks"
"27",710500.73,52085,"Public_Banks"
"28",274000.35,22422.91,"Public_Banks"
"29",121067.55,8826.92,"Public_Banks"
"30",1493648.94,102880.5,"Public_Banks"
"31",5954418.3,473378.14,"Public_Banks"
"32",253336.1092,18166.42,"Public_Banks"
"33",1288357.1,97078.5,"Public_Banks"
