State,Bank_name,Established,Headquarters,Branches,Sponsor Bank,latitude,longitude,Government  Shareholding
Andhra Pradesh,Andhra Pradesh Grameena Vikas Bank,2006,"Warangal, Telangana",755,State Bank of India,17.9851872,79.5996037,NA
Andhra Pradesh,Andhra Pragathi Grameena Bank,2006,"Kadapa, Andhra Pradesh",552,Canara Bank,14.468471,78.965665,NA
Andhra Pradesh,Chaitanya Godavari Gramin Bank,2006,"Guntur, Andhra Pradesh",219,Union Bank of India,16.3036,80.4422,NA
Andhra Pradesh,Saptagiri Gramin Bank,2006,"Chittoor, Andhra Pradesh",220,Indian Bank,13.6364833,79.4180795,NA
Arunachal Pradesh,Arunachal Pradesh Rural Bank,1983,"Itanagar, Arunachal Pradesh",30,State Bank of India,27.087,93.609,NA
Assam,Assam Gramin Vikash Bank,2006,"Guwahati, Assam",474,Punjab National Bank,26.1184072,91.9632362,NA
Bihar,Dakshin Bihar Gramin Bank,2019,"Patna, India",1078,Punjab National Bank,25.612677,85.158875,NA
Bihar,Uttar Bihar Gramin Bank,2008,"Muzaffarpur, India",1032,Central Bank of India,26.1197,85.391,NA
Chhattisgarh,Chhattisgarh Rajya Gramin Bank,2013,"Raipur, Chhattisgarh",625,State Bank of India,21.2514,81.6296,NA
Gujarat,Baroda Gujarat Gramin Bank,2019,"Vadodara, Gujarat",489,Bank of Baroda,22.3072,73.1812,NA
Gujarat,Saurashtra Gramin Bank,1978,"Rajkot, Gujarat",259,State Bank of India,22.3039,70.8022,NA
Haryana,Sarva Haryana Gramin Bank,2013,"Rohtak, Haryana",542,Punjab National Bank,28.8955,76.6066,NA
Himachal Pradesh,Himachal Pradesh Gramin Bank,2013,"Mandi, Himachal Pradesh",265,Punjab National Bank,31.5892,76.9182,NA
Jammu And Kashmir,Ellaquai Dehati Bank,1979,"Srinagar, Jammu and Kashmir",116,State Bank of India,34.0837,74.7973,NA
Jammu And Kashmir,Jammu And Kashmir Grameen Bank,2009,"Jammu, Jammu and Kashmir",217,Jammu & Kashmir Bank,32.7266,74.857,NA
Jharkhand,Jharkhand Rajya Gramin Bank,2019,"Ranchi, Jharkhand",443,State Bank Of India,23.3441,85.3096,NA
Karnataka,Karnataka Gramin Bank,2019,"Ballari, Karnataka",1142,Canara Bank,15.1394,76.9214,NA
Karnataka,Karnataka Vikas Grameena Bank,2005,"Dharwad, Karnataka",633,Canara Bank,15.4589,75.0078,NA
Kerala,Kerala Gramin Bank,2013,"Malappuram, Kerala",634,Canara Bank,11.051,76.0711,NA
Madhya Pradesh,Madhya Pradesh Gramin Bank,2019,"Indore, Madhya Pradesh",866,Bank of India,22.7196,75.8577,NA
Madhya Pradesh,Madhyanchal Gramin Bank,2012,"Sagar, Madhya Pradesh",454,State Bank of India,23.8388,78.7378,NA
Maharashtra,Maharashtra Gramin Bank,2008,"Aurangabad, Maharashtra",391,Bank of Maharashtra,19.8762,75.3433,NA
Maharashtra,Vidarbha Konkan Gramin Bank,2013,"Nagpur, Maharashtra",318,Bank of India,21.1458,79.0882,NA
Manipur,Manipur Rural Bank,1981,"Imphal, Manipur",28,Punjab National Bank,24.7996,93.9417,NA
Meghalaya,Meghalaya Rural Bank,1981,"Shillong, Meghalaya",87,State Bank of India,25.5788,91.8933,NA
Mizoram,Mizoram Rural Bank,1983,"Aizawl, Mizoram",85,State Bank of India,23.7271,92.7176,NA
Nagaland,Nagaland Rural Bank,1983,"Kohima, Nagaland",10,State Bank of India,25.6747,94.11,NA
Odisha,Odisha Gramya Bank,2013,"Bhubaneswar, India",549,Indian Overseas Bank,20.2961,85.8245,NA
Odisha,Utkal Grameen Bank,2012,"Bolangir, Odisha",442,State Bank of India,20.7023,83.222,NA
Puducherry,Puduvai Bharathiar Grama Bank,2008,"Pondicherry, Puducherry",43,Indian Bank,11.9139,79.8145,NA
Punjab,Punjab Gramin Bank,2019,"Kapurthala, Punjab",419,Punjab National Bank,31.3804,75.3903,NA
Rajasthan,Rajasthan Marudhara Gramin Bank,2014,"Jodhpur, Rajasthan",715,State Bank of India,26.2389,73.0243,NA
Rajasthan,Baroda Rajasthan Kshetriya Gramin Bank,2013,"Ajmer, Rajasthan",833,Bank of Baroda,26.4691,74.639,NA
Tamil Nadu,Tamil Nadu Grama Bank,2019,"Salem, Tamil Nadu",630,Indian Bank,11.6643,78.146,NA
Telangana,Telangana Grameena Bank,2014,"Hyderabad, Telangana",421,State Bank of India,17.385,78.4867,NA
Tripura,Tripura Gramin Bank,1976,"Agartala, India",142,Punjab National Bank,23.8315,91.2868,NA
Uttar Pradesh,Aryavart Bank,2019,"Lucknow, Uttar Pradesh",1365,Bank of India,26.8467,80.9462,NA
Uttar Pradesh,Baroda UP Bank,2020,"Ayodhya, Uttar Pradesh",2050,Bank of Baroda,26.7925,82.1944,NA
Uttar Pradesh,Prathama UP Gramin Bank,2019,"Moradabad, Uttar Pradesh",938,Punjab National Bank,28.8389,78.7768,NA
Uttarakhand,Uttarakhand Gramin Bank,2012,"Dehradun, Uttarakhand",286,State Bank of India,30.3165,78.0322,NA
West Bengal,Bangiya Gramin Vikash Bank,2007,"Berhampore, West Bengal",587,Punjab National Bank,24.1025,88.2513,NA
West Bengal,Paschim Banga Gramin Bank,2007,"Howrah, West Bengal",230,UCO Bank,22.5946,88.263,NA
West Bengal,Uttarbanga Kshetriya Gramin Bank,1977,"Coochbehar, West Bengal",142,Central Bank of India,26.329,89.4607,NA
